smoke,incr,decr,incr,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.12369,0.82905,0.0611,0,0.01778,0.00199,0.98759,0,0,0
smoke,incr,decr,incr,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.12369,0.82905,0.0611,0,0.01778,0.00199,0.98759,0,0,0
smoke,incr,decr,incr,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.06708,0.65851,0.03616,0,0,0.21119,0.64802,0,0,0
smoke,incr,decr,incr,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.12369,0.82905,0.0611,0,0.01778,0.00199,0.98759,0,0,0
smoke,incr,decr,incr,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.55556,0.4177,0,0,0.08346,0.01526,0.9516,0,0,0
smoke,incr,decr,incr,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.12369,0.82905,0.0611,0,0.01778,0.01442,0.97152,0,0,0
smoke,incr,decr,incr,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.55556,0.4177,0,0,0.08346,0.10965,0.73238,0,0,0
smoke,incr,decr,incr,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.55556,0.4177,0,0,0.08346,0.10194,0.89392,0,0,0
bike,incr,stable,incr,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.04167,0.125,0.66667,0.08333,0.08333,0,0.125,0,0.34042,0.23452,0.2819,0,0.02859,0.91319,0,0,0.08075
fds,stable,stable,decr,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.17391,0.04348,0.34783,0.08696,0.26087,0.08696,0,0,0.16255,0.34297,0.38063,0.0618,0.00934,0.96458,0,0,0.03384
drown,stable,stable,incr,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.24,0,0.08,0.16,0.4,0.12,0,0.07317,0.15955,0.2167,0.60451,0,0.47351,0.56279,0,0,0.09008
drown,stable,stable,incr,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.24,0,0.08,0.16,0.4,0.12,0.42209,0,0.25274,0,0.14998,0.24775,0.03387,0.81992,0,0,0
bike,incr,stable,incr,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.04167,0.125,0.66667,0.08333,0.08333,0,1,0,0,0.12466,0.17728,0,0.0719,0.58116,0,0,0.16037
fds,stable,stable,decr,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.17391,0.04348,0.34783,0.08696,0.26087,0.08696,0.36687,0,0.12089,0,0.27503,0.12838,0.10152,0.9363,0,0,0
drown,stable,stable,incr,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.24,0,0.08,0.16,0.4,0.12,0.62229,0,0,0.18237,0.13562,0,0.11457,0.75879,0,0,0.16826
smoke,incr,decr,incr,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.33333,0.51852,0,0.14815,0,0,0.12369,0.82905,0.0611,0,0.01778,0.00199,0.98759,0,0,0
