smoke,incr,decr,incr,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.02326,0.93023,0.02326,0,0.02326,0,1,0.0437,0,0,0.025,0.82543,0,0.15,0
fds,stable,stable,decr,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.23077,0.38462,0.17949,0.02564,0.17949,0.71188,0,0.31552,0,0,0,0.80892,0.2,0,0.06243
drown,stable,stable,incr,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.34146,0.04878,0.41463,0.02439,0.17073,0.71669,0,0.25427,0,0,0,0.97428,0,0,0.04541
smoke,incr,decr,incr,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.02326,0.93023,0.02326,0,0.02326,0,1,0.0437,0,0,0.025,0.82543,0,0.15,0
bike,incr,stable,incr,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.10526,0.73684,0.15789,0,0,0.3887,0.03571,0.51595,0.03377,0,0,1,0,0,0
fds,stable,stable,decr,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.23077,0.38462,0.17949,0.02564,0.17949,0.24163,0,0.64405,0.05357,0,0,1,0,0,0
drown,stable,stable,incr,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.34146,0.04878,0.41463,0.02439,0.17073,0.57221,0,0.38987,0.05351,0,0,1,0,0,0
smoke,incr,decr,incr,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.02326,0.93023,0.02326,0,0.02326,0,1,0.0437,0,0,0.025,0.82543,0,0.15,0
bike,incr,stable,incr,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.10526,0.73684,0.15789,0,0,0.3887,0.03571,0.51595,0.03377,0,0,0.99361,0,0,0
fds,stable,stable,decr,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.23077,0.38462,0.17949,0.02564,0.17949,0.71188,0,0.31552,0,0,0,0.80892,0.2,0,0.06243
